unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
485,object,airplane,0.15628423272939485,blue-c,61494563.0,3157753.0,564272.0,0.00880463757015271,airplane,1293178.0,2447642.0,505612.0,0.15628423272939485,body,1291612.0,1840695.0,263706.0,0.09192843480149383,arrival_gate-outdoor-s,451584.0,573247.0,44525.0,0.04541949146490993,dotted,2935296.0,175674.0,25516.0,0.008269771644626691
36,scene,office-s,0.15547996445953866,black-c,139916835.0,3322883.0,859130.0,0.006034038853667327,desk,916228.0,2019418.0,201469.0,0.07368542709561232,screen,677188.0,1428341.0,93806.0,0.046629680129918485,office-s,1542912.0,1238787.0,374302.0,0.15547996445953866,,24924928.0,85088.0,82644.0,0.0033153916104754245
43,object,car,0.15544881149082945,black-c,139916835.0,3407323.0,980513.0,0.006888351074612428,car,5354795.0,3216508.0,1153144.0,0.15544881149082945,wheel,1513439.0,1927851.0,50485.0,0.014888794843702306,parking_lot-s,501760.0,1845182.0,91912.0,0.04075865953002843,potholed,1580544.0,176772.0,36543.0,0.02123638620550183
389,scene,alley-s,0.15542574693241315,white-c,72511065.0,3442234.0,536797.0,0.007117765817353873,building,35246027.0,3041630.0,1512132.0,0.04111789022726392,balcony,317196.0,1319677.0,14329.0,0.008831193483813074,alley-s,1091328.0,2342082.0,461856.0,0.15542574693241315,potholed,1580544.0,76126.0,15568.0,0.009486308590203413
427,scene,staircase-s,0.15521171062891717,brown-c,182265724.0,3499357.0,1008939.0,0.005460922646890949,stairway,494268.0,1002029.0,107631.0,0.0775067582845695,fire escape,51663.0,220691.0,4908.0,0.018351368126649857,staircase-s,865536.0,710755.0,211787.0,0.15521171062891717,,24924928.0,114815.0,107667.0,0.004318412955262931
82,scene,rope_bridge-s,0.154669234840484,green-c,63326720.0,3381570.0,509057.0,0.007689771873943011,fence,2236367.0,1984616.0,102323.0,0.02484375986364497,wheel,1513439.0,757710.0,15389.0,0.006822091002588928,rope_bridge-s,188160.0,767405.0,127999.0,0.154669234840484,cobwebbed,1505280.0,771787.0,182934.0,0.08735548315221621
228,scene,staircase-s,0.15350838220004293,brown-c,182265724.0,3340733.0,1123075.0,0.006087675691027824,stairway,494268.0,1119478.0,109496.0,0.07279109190626558,riser,23757.0,414976.0,4368.0,0.010056058844520158,staircase-s,865536.0,912919.0,236676.0,0.15350838220004293,,24924928.0,65658.0,59497.0,0.00238645812864412
436,scene,mountain_snowy-s,0.15318380934200332,blue-c,61494563.0,3420981.0,1029148.0,0.016109032038683167,mountain,5469345.0,2296635.0,596103.0,0.08313991997352256,leg,2786636.0,649313.0,18674.0,0.0054645880123782836,mountain_snowy-s,1793792.0,1184364.0,395605.0,0.15318380934200332,marbled,1693440.0,1017392.0,97582.0,0.03734124174878026
148,object,bottle,0.15264181257930942,yellow-c,34166024.0,2982572.0,227443.0,0.0061602355701080086,bottle,940208.0,902819.0,244068.0,0.15264181257930942,body,1291612.0,655346.0,225526.0,0.1310106934226853,bar-s,765184.0,148236.0,13260.0,0.014730714539637396,bubbly,1517824.0,113725.0,11961.0,0.0073852115476281625
134,scene,bar-s,0.15208914751697244,orange-c,30348501.0,3546123.0,307035.0,0.00914132300475631,bottle,940208.0,1620169.0,197376.0,0.08352768365311737,body,1291612.0,1284291.0,172164.0,0.07162341668542217,bar-s,765184.0,340749.0,145996.0,0.15208914751697244,,24924928.0,64281.0,56119.0,0.0022507839982930313
324,scene,greenhouse-indoor-s,0.15086082669700415,green-c,63326720.0,3375970.0,1257285.0,0.019211203597869094,pottedplant,925877.0,2002109.0,373234.0,0.14609402399919835,pot,422616.0,909215.0,116148.0,0.09554135411945384,greenhouse-indoor-s,363776.0,698411.0,139237.0,0.15086082669700415,frilly,1618176.0,772978.0,202426.0,0.09248568118103301
17,scene,ice_skating_rink-indoor-s,0.1498404047994438,white-c,72511065.0,3374357.0,734733.0,0.00977679659064736,ice rink,127327.0,2465067.0,97676.0,0.03915312271767791,leg,2786636.0,901884.0,28839.0,0.00788019502246234,ice_skating_rink-indoor-s,250880.0,1058940.0,170688.0,0.1498404047994438,,24924928.0,476114.0,321594.0,0.012823009501644533
500,scene,waterfall-block-s,0.14964653017020896,green-c,63326720.0,3381585.0,438269.0,0.006613381045997923,waterfall,258712.0,2467098.0,239557.0,0.0963526238077943,wave,42267.0,485270.0,12480.0,0.02423032790545512,waterfall-block-s,326144.0,1438153.0,229654.0,0.14964653017020896,smeared,1869056.0,802208.0,67149.0,0.025785727588835364
143,scene,ice_skating_rink-indoor-s,0.14942588501776413,white-c,72511065.0,3463348.0,707337.0,0.009397694683927937,ice rink,127327.0,2543874.0,109250.0,0.042643282404698606,leg,2786636.0,1000133.0,38368.0,0.01023583122510105,ice_skating_rink-indoor-s,250880.0,1163892.0,183921.0,0.14942588501776413,,24924928.0,429318.0,343473.0,0.013733002174702877
71,scene,alley-s,0.14860104025212023,white-c,72511065.0,3442583.0,447470.0,0.005926270033162055,building,35246027.0,2692949.0,1394685.0,0.038164237472824415,balcony,317196.0,1130578.0,8600.0,0.005975649921413255,alley-s,1091328.0,1777712.0,371184.0,0.14860104025212023,,24924928.0,175128.0,143013.0,0.0057303663739330015
47,texture,frilly,0.1478658669076071,pink-c,18491188.0,3508717.0,306481.0,0.014127829705444378,pottedplant,925877.0,1602867.0,247364.0,0.10842735537262534,pot,422616.0,708162.0,56502.0,0.05259542240541537,florist_shop-indoor-s,225792.0,605991.0,105135.0,0.14468490933712055,frilly,1618176.0,1419418.0,391297.0,0.1478658669076071
306,scene,parking_garage-indoor-s,0.14661545832661516,black-c,139916835.0,3392030.0,1009105.0,0.007091403386766077,car,5354795.0,2511987.0,483761.0,0.06552344900549517,wheel,1513439.0,1224629.0,34718.0,0.012842584201083841,parking_garage-indoor-s,288512.0,1211996.0,191867.0,0.14661545832661516,potholed,1580544.0,339808.0,34885.0,0.01850204750335063
348,scene,office-s,0.14651909964598225,black-c,139916835.0,3426400.0,804398.0,0.005643360202244389,desk,916228.0,2167391.0,176911.0,0.06086301066360983,screen,677188.0,1477968.0,120995.0,0.059481525798597064,office-s,1542912.0,1245192.0,356305.0,0.14651909964598225,,24924928.0,204973.0,188821.0,0.007570682584715658
